,Date,Real Price,Predicted Price_tech,Predicted Price_fund,Tmr_Predicted
0,2021-10-20,109.0596694946289,107.26841104760932,105.60592266827734,106.24888373149767
1,2021-10-21,109.6152114868164,107.59504850107827,105.70137824056246,106.4632259844129
2,2021-10-22,109.7205810546875,107.9496258521517,105.83769041068945,106.4632259844129
3,2021-10-25,109.87383270263672,108.30528200582374,106.00039753413012,107.5403302256727
4,2021-10-26,110.0749740600586,108.57116870689605,106.18049786380061,107.5403302256727
5,2021-10-27,108.72441864013672,108.86142109090268,106.37162696834866,107.5403302256727
6,2021-10-28,108.42748260498048,108.95722747925628,106.52551761068662,107.5403302256727
7,2021-10-29,101.59809875488278,108.87751595391431,106.64275828275458,107.5403302256727
8,2021-11-01,105.17082977294922,107.45705984141931,106.54862136833526,107.49370356146935
9,2021-11-02,106.7512664794922,106.77508224716074,106.4097808624656,107.41719240538075
10,2021-11-03,107.86235809326172,106.60349814900154,106.28521673514297,107.3800918821307
11,2021-11-04,107.43135070800778,106.64250939448674,106.20411382739712,107.3800918821307
12,2021-11-05,111.9810791015625,106.67499333940053,106.14461075345298,107.41719240538075
13,2021-11-08,110.30485534667969,107.45765917619632,106.22315263145947,107.5403302256727
14,2021-11-09,109.31827545166017,108.16025388678393,106.34847961870446,107.5403302256727
15,2021-11-10,108.943115234375,108.46995740855344,106.47608428771764,107.5403302256727
16,2021-11-11,107.20194244384766,108.53256065026083,106.5927255698466,107.5403302256727
17,2021-11-12,107.47128295898438,108.31622258975311,106.65074651594159,107.5403302256727
18,2021-11-15,107.61559295654295,108.0644148074425,106.67653118131739,107.5403302256727
19,2021-11-16,107.96189880371094,107.94106081333847,106.68148977081273,107.59991962495221
20,2021-11-17,108.2408676147461,107.83634068230138,106.68131540283048,107.59991962495221
21,2021-11-18,108.6064224243164,107.77756228617089,106.68563101039126,107.59991962495221
22,2021-11-19,106.5670394897461,107.76178343604168,106.70283895063994,107.6169774306181
23,2021-11-22,107.21156311035158,107.5317805426182,106.6735342316224,107.5403302256727
24,2021-11-23,109.26056671142578,107.37347988251666,106.63213273383599,107.49370356146935
25,2021-11-24,109.63572692871095,107.54217627675028,106.63807214323151,107.5403302256727
26,2021-11-26,106.4516143798828,107.8231008322275,106.68554382640014,107.59991962495221
27,2021-11-29,106.5189437866211,107.40507027376292,106.6765202833185,107.49370356146935
28,2021-11-30,105.47039794921876,107.1582315216035,106.63242697980604,107.46979705635201
29,2021-12-01,104.52766418457033,106.77862377084305,106.5390202313124,107.41719240538075
30,2021-12-02,107.18270111083983,106.47272330065856,106.38953238052636,107.3800918821307
31,2021-12-03,107.00955200195311,106.32955856792545,106.27791507588609,107.3800918821307
32,2021-12-06,109.04891967773436,106.36940888209845,106.19064390076801,107.3800918821307
33,2021-12-07,111.83864593505861,106.69908659743622,106.1786016119936,107.41719240538075
34,2021-12-08,111.82901000976562,107.55641865045116,106.2928235383688,107.5403302256727
35,2021-12-09,110.96324157714844,108.31002219906007,106.48955421434675,107.5403302256727
36,2021-12-10,112.29077148437499,108.8603749792919,106.71321384558405,107.6169774306181
37,2021-12-13,111.1652603149414,109.46900489384073,106.98424707799995,107.6169774306181
38,2021-12-14,110.34758758544922,109.8497895201633,107.24443680151944,107.6169774306181
39,2021-12-15,110.31873321533205,109.91019156868968,107.47194342636521,107.5935715852938
40,2021-12-16,109.27017974853517,109.88148888136901,107.66807471240418,107.5935715852938
41,2021-12-17,104.4988021850586,109.80068765643249,107.80726395423835,107.5935715852938
42,2021-12-20,103.97933959960938,108.85808661014333,107.77504946951694,107.5935715852938
43,2021-12-21,106.17263031005861,107.68912226707651,107.61688681161377,107.5935715852938
44,2021-12-22,107.4905242919922,107.16863815273153,107.4324599763836,107.54694492109044
45,2021-12-23,108.09658813476562,106.96721807967332,107.26999260891853,107.49383961032615
46,2021-12-27,109.87622070312501,107.04682063505582,107.14419700772123,107.54644426129741
47,2021-12-28,111.17487335205078,107.3768579512598,107.0954284626846,107.57035076641475
48,2021-12-29,111.95407104492186,107.97498316171708,107.13663379649097,107.6169774306181
49,2021-12-30,111.81939697265624,108.6806617221573,107.25945424399106,107.6169774306181
50,2021-12-31,112.52163696289062,109.33017716549396,107.43132658449895,107.5935715852938
51,2022-01-03,112.24266052246092,109.8799088169569,107.65040905620208,107.5935715852938
52,2022-01-04,109.89545440673827,110.30129565017272,107.88577313824817,107.5935715852938
53,2022-01-05,106.2399826049805,110.39487905135341,108.05852821666622,107.5935715852938
54,2022-01-06,106.91333770751952,109.81703315035087,108.0845635360165,107.5935715852938
55,2022-01-07,103.47911834716795,109.0986268986462,108.02616115996034,107.5935715852938
56,2022-01-10,101.99768829345705,107.97927657811964,107.81622210932665,107.5935715852938
57,2022-01-11,100.08335876464842,106.62772217098858,107.46183008339449,107.4333332417518
58,2022-01-12,99.91983032226562,105.28516868250857,106.96852126560043,107.10905262863159
59,2022-01-13,98.5057373046875,104.10686561391638,106.38961956451749,106.8942532515575
60,2022-01-14,96.31244659423828,102.92603444226482,105.73150030949682,104.96382609163808
61,2022-01-18,94.01332855224611,101.50032597772405,104.98390848358213,103.3442760114667
62,2022-01-19,93.18604278564452,99.93045025682316,104.13054068043266,102.82272999793712
63,2022-01-20,92.07977294921876,98.50111309263251,103.21237337587809,101.99199935243813
64,2022-01-21,92.6473388671875,97.21676045949788,102.25140962967907,100.32214656795257
65,2022-01-24,94.36926269531249,96.14845166798044,101.30706533178864,99.8953558622088
66,2022-01-25,93.32071685791016,95.36290902425502,100.44677729934347,99.45264744021914
