,Date,Real Price,Predicted Price_tech,Predicted Price_fund,Tmr_Predicted
0,2021-11-15,299.8260803222656,303.54245860313506,265.44851130403265,283.5078506197429
1,2021-11-16,301.6036071777344,305.5033019676443,267.8095699647958,289.98391172091766
2,2021-11-17,292.1968688964844,306.9583179419933,270.0651733609087,292.2153539949498
3,2021-11-18,316.3028259277344,307.43940393359225,272.1913968769286,292.2153539949498
4,2021-11-19,329.38433837890625,312.3485875679208,274.3462189259381,291.76511773405974
5,2021-11-22,319.1088256835937,317.53389454656934,276.65417019857546,301.955912084158
6,2021-11-23,317.0118103027344,322.2789913583645,278.9712648224138,303.3184733761696
7,2021-11-24,326.2786865234375,323.6300234359303,281.2535971844976,303.3184733761696
8,2021-11-26,314.5852355957031,325.6816338887932,283.5198629550142,303.0717411778747
9,2021-11-29,333.288818359375,327.17358690391876,285.5893567968095,302.78325814609894
10,2021-11-30,326.2987060546875,330.08846209808985,287.6908961857852,302.78325814609894
11,2021-12-01,313.94464111328125,332.2229328951908,289.7079545151021,307.43351007098187
12,2021-12-02,320.8457336425781,332.87930936150184,291.57372397582515,311.7107318217109
13,2021-12-03,306.53424072265625,332.48394297954064,293.39278347306464,311.7107318217109
14,2021-12-06,299.9826354980469,331.02828512928556,294.9690329537466,306.96168246996837
15,2021-12-07,323.85186767578125,326.72328177963357,296.35715725316885,307.46178336268036
16,2021-12-08,317.8495788574219,327.53140354537487,297.71425842487406,309.98633376081995
17,2021-12-09,304.5068359375,328.54971049417634,298.8723967690079,309.98633376081995
18,2021-12-10,301.59063720703125,327.8619696370006,299.92987061397696,309.98633376081995
19,2021-12-13,281.2468566894531,326.213340548439,300.8054706424052,309.98633376081995
20,2021-12-14,283.0046081542969,321.98725875905603,301.3625431900174,304.62827225123743
21,2021-12-15,304.1972351074219,316.523465165706,301.6986562856034,305.65724733834173
22,2021-12-16,283.50396728515625,314.9820585296356,301.97444663285074,296.12764800600286
23,2021-12-17,277.65155029296875,313.97571381362906,302.06287131043973,295.33201848631694
24,2021-12-20,276.83258056640625,310.28673627673834,301.637165057878,294.4374779011392
25,2021-12-21,290.3750915527344,306.4355100164998,301.0928581475656,293.2207263381402
26,2021-12-22,293.6208801269531,305.3109142528888,300.4475946182418,293.2207263381402
27,2021-12-23,296.0177917480469,305.51103365469464,299.8656918836621,293.2207263381402
28,2021-12-27,309.05096435546875,306.8754867739328,299.48184640512915,295.45216861217233
29,2021-12-28,302.8289794921875,309.39951789366273,299.1278847869112,295.26931268905315
30,2021-12-29,299.62310791015625,311.9748699097007,298.82267797110353,295.0019323512823
31,2021-12-30,295.4784545898437,312.69683442314096,298.5868788308662,293.5706992338149
32,2021-12-31,293.730712890625,312.8459538665919,298.3127827787296,293.5706992338149
33,2022-01-03,300.8215637207031,312.4490119710431,298.12372281396057,295.0019323512823
34,2022-01-04,292.52227783203125,313.1141704667962,297.7067509448145,293.5706992338149
35,2022-01-05,275.6840515136719,312.4898877957887,297.1257537817595,291.0461033802224
36,2022-01-06,281.4166259765625,309.43908079041864,296.53596381131956,292.7447168354607
37,2022-01-07,272.1186828613281,306.1505754665601,295.9095420121064,290.6961304845477
38,2022-01-10,273.6466064453125,303.1331168321281,295.0644977196405,290.0314240330525
39,2022-01-11,277.811279296875,299.0813043512429,294.3013638321827,283.761832962774
40,2022-01-12,279.6289367675781,297.30091564487185,293.3094416808078,283.761832962774
41,2022-01-13,265.4072570800781,296.9641350274283,292.4225074023285,278.24035910004665
42,2022-01-14,269.0726013183594,295.2909395973708,291.58908947976033,278.24035910004665
43,2022-01-18,258.69598388671875,292.66059048665375,290.6349092125761,272.39482194979274
44,2022-01-19,250.3467712402344,289.46985453376055,289.7407887858685,269.55889033548334
45,2022-01-20,241.18858337402344,285.92103935381334,288.76341420285814,269.55889033548334
46,2022-01-21,233.4385986328125,281.227146733616,287.3318516822351,265.87465769545
47,2022-01-24,233.4185943603516,275.5299728960547,285.7868006011782,262.60437650103614
48,2022-01-25,222.9521331787109,268.74303965087535,284.2731816156237,257.4548987009094
49,2022-01-26,227.4263610839844,263.07895159865416,282.6024897885112,251.84262757103127
50,2022-01-27,219.15704345703125,259.746536127585,281.06760447811865,251.42888067494985
51,2022-01-28,228.10548400878903,256.31769338971765,279.3973508307762,251.42888067494985
52,2022-01-31,244.54425048828125,252.8336201477508,277.47870767780466,251.9721869756352
53,2022-02-01,246.0622863769531,253.2270317258162,275.9429460078721,255.2873554297794
54,2022-02-02,252.0944976806641,255.11756050243326,274.5870717395229,255.2873554297794
55,2022-02-03,239.17117309570312,257.8831120199106,273.3902567276891,254.85993780624088
56,2022-02-04,242.8764190673828,258.0376874085631,272.04159781955286,254.85993780624088
57,2022-02-07,246.96112060546875,257.9139220634019,270.7100279224472,254.85993780624088
58,2022-02-08,250.75625610351562,258.7208476058637,269.4342821280414,254.85993780624088
59,2022-02-09,266.70556640625,259.48567192412287,268.1223134726477,254.85993780624088
60,2022-02-10,257.9069519042969,262.9299196837359,267.10845312078743,252.44631007701972
61,2022-02-11,239.18118286132807,265.44931179123563,266.23603719868794,254.93350745674573
62,2022-02-14,242.3570556640625,264.9231777815016,265.36414709231246,254.93350745674573
63,2022-02-15,264.6083679199219,263.23822435189203,264.51232561940367,249.70907361480093
64,2022-02-16,264.76812744140625,265.0216765569057,263.7555891565881,254.93350745674573
65,2022-02-17,244.7539978027344,267.34173701939335,263.23514843774916,254.0331258458714
66,2022-02-18,236.1151428222656,266.5949435788592,262.8717805604682,246.7310141631631
