,Date,Real Price,Predicted Price_tech,Predicted Price_fund,Tmr_Predicted
0,2021-10-20,147.5529022216797,143.22362848840154,142.3019367857,144.05130611484492
1,2021-10-21,147.7703857421875,144.27517985082156,142.49079242163086,143.85569856895563
2,2021-10-22,146.9894561767578,145.08267276044919,142.70478701882845,147.21676337721237
3,2021-10-25,146.94003295898438,145.71734051191285,142.95494454139086,146.59761867908674
4,2021-10-26,147.6122589111328,146.0687902582474,143.21666641844828,147.2310900391658
5,2021-10-27,147.14761352539062,146.5630281888484,143.49183320858216,147.38502313095523
6,2021-10-28,150.82508850097656,146.82457069032986,143.76557336806806,147.38502313095523
7,2021-10-29,148.08676147460938,147.5942333069938,144.0827825310857,147.5257897960546
8,2021-11-01,147.25637817382812,147.51181922586463,144.43295550831814,150.0942066582693
9,2021-11-02,148.3042449951172,147.51408111076555,144.80381462994634,150.48479782979575
10,2021-11-03,149.75743103027344,147.7253154329105,145.18386038832293,149.76752671503345
11,2021-11-04,149.23350524902344,148.1797613409892,145.56105288540354,149.76752671503345
12,2021-11-05,149.7681121826172,148.58112263281507,145.9450543014859,148.3021324837273
13,2021-11-08,148.93649291992188,148.88361489885344,146.3389448618327,149.7796397421198
14,2021-11-09,149.3027801513672,149.0082544047443,146.73812044026178,152.60377630245875
15,2021-11-10,146.44166564941406,149.0933162847859,147.15089224107848,152.60377630245875
16,2021-11-11,146.39218139648438,148.6791769512449,147.50710678294897,150.46894128119675
17,2021-11-12,148.49099731445312,148.29075449863896,147.8273421321896,152.0737581850044
18,2021-11-15,148.5009002685547,148.20243378916663,148.12896643615883,155.96861027278646
19,2021-11-16,149.4908905029297,148.37817474208438,148.44326829884082,156.58482553712565
20,2021-11-17,151.95603942871094,148.5795682569353,148.74476290911477,155.42293859448637
21,2021-11-18,156.292236328125,149.23582575337738,149.05210454348386,158.11333400270178
22,2021-11-19,158.9454345703125,150.51260082086034,149.37726825314482,157.90195537674117
23,2021-11-22,159.41075134277344,152.19295618573548,149.7371142184829,159.29489366370126
24,2021-11-23,159.796875,154.1009579380793,150.1155928447083,158.37292115170385
25,2021-11-24,160.32156372070312,155.32992254746702,150.5099265251806,157.84225774686547
26,2021-11-26,155.24282836914062,156.36445081404506,150.91575971330028,157.8820839440541
27,2021-11-29,158.6385498046875,156.3383158595975,151.2504126783319,158.08487511969543
28,2021-11-30,163.64796447753906,156.83239299269368,151.58439555927131,158.9516029121096
29,2021-12-01,163.12326049804688,157.93843326957514,151.9200212270175,160.42509742312723
30,2021-12-02,162.12335205078125,159.42877958293954,152.21911650392892,160.00414783056658
31,2021-12-03,160.22256469726562,159.5530974938208,152.5223511712811,160.16794399045102
32,2021-12-06,163.6677703857422,159.7886872780268,152.79047127063856,162.11221197224404
33,2021-12-07,169.46922302246094,160.71946899450492,153.05019370322722,162.02430331809228
34,2021-12-08,173.33023071289062,162.54503522605225,153.3734120074591,168.27450563870661
35,2021-12-09,172.81541442871094,164.71868517616687,153.7692587810429,169.96324408984947
36,2021-12-10,177.65655517578125,166.66804404674642,154.19739928474925,171.08308265358028
37,2021-12-13,173.983642578125,168.79581310882347,154.66560433248648,172.8435121057464
38,2021-12-14,172.5877227783203,170.38422446045135,155.14904838941808,173.82558394969965
39,2021-12-15,177.50808715820312,170.91712883104103,155.6044245691314,173.83065650681783
40,2021-12-16,170.53839111328125,171.87223385007925,156.07495329557557,173.67646273601895
41,2021-12-17,169.4296112060547,171.99279981918173,156.50294248997076,173.67646273601895
42,2021-12-20,168.05349731445312,171.3744690942062,156.87540116717398,173.67646273601895
43,2021-12-21,171.26112365722656,170.47863403543894,157.18349934809882,174.08554075008396
44,2021-12-22,173.88462829589844,170.41140995859698,157.4874257151591,173.82558394969965
45,2021-12-23,174.5182342529297,170.95628838337777,157.80917415751125,173.83065650681783
46,2021-12-27,178.5277862548828,171.77334338462444,158.16542112280555,173.67646273601895
47,2021-12-28,177.49813842773438,173.07165459791756,158.57453988453878,173.92835558081606
48,2021-12-29,177.58726501464844,174.19502884581695,158.99501765241618,175.77964235133913
49,2021-12-30,176.4190673828125,174.99212351680055,159.42582768468353,174.88218007636897
50,2021-12-31,175.7953643798828,175.4874119910996,159.8394424945195,174.88218007636897
51,2022-01-03,180.19094848632807,175.66604729910384,160.2343273731967,175.90219994661493
52,2022-01-04,177.90403747558594,176.37252721621323,160.60671039574433,176.11296533588938
53,2022-01-05,173.17181396484375,176.93893106697053,160.9243410632716,175.78389013716514
54,2022-01-06,170.28102111816406,176.41851530258734,161.15293700899517,176.15112703350133
55,2022-01-07,170.44931030273438,175.1674249565385,161.2932980107025,176.853802260448
56,2022-01-10,170.4691162109375,174.15853853205996,161.3544161645991,177.06253349876351
57,2022-01-11,173.33023071289062,173.02620250322613,161.37144926991138,175.21124672824044
58,2022-01-12,173.77572631835938,172.81094824346107,161.34063620947651,174.76923769045789
59,2022-01-13,170.4691162109375,173.1473902226805,161.29471383354254,175.00251548992492
60,2022-01-14,171.34033203125,172.84323638242583,161.20138841198693,174.56050645214236
61,2022-01-18,168.1029815673828,172.4280572250204,161.06513437729652,173.52483729447704
62,2022-01-19,164.5686798095703,171.64969010342972,160.87291751309655,173.52483729447704
63,2022-01-20,162.86587524414062,170.3759594687044,160.58624040750735,173.8917280432761
64,2022-01-21,160.786865234375,168.97349435163252,160.18618939663517,171.76869836240076
65,2022-01-24,160.0047607421875,167.3852759570104,159.69099725247358,169.53201263340816
66,2022-01-25,158.18316650390625,165.31719492871682,159.14977465429862,168.70543368187464
