Date,Energy Adj Close,Energy Volume,Materials Adj Close,Materials Volume,Industrials Adj Close,Industrials Volume,Consumer Discretionary Adj Close,Consumer Discretionary Volume,Consumer Staples Adj Close,Consumer Staples Volume,Health Care Adj Close,Health Care Volume,Financials Adj Close,Financials Volume,Information Technology Adj Close,Information Technology Volume,Communication Services Adj Close,Communication Services Volume,Utilities Adj Close,Utilities Volume,Real Estate Adj Close,Real Estate Volume
2018-01-02,81.26561737060547,442200,59.8239860534668,61800,131.62521362304688,268700,147.67877197265625,138900,48.4948844909668,20146800,143.97738647460938,329600,24.845783233642578,55436100,158.16522216796875,1141900,85.8111343383789,121900,43.43461990356445,12270000,67.17005920410156,4639500
2018-01-03,82.49996185302734,484400,60.227577209472656,28000,132.05670166015625,180200,148.42625427246094,83600,48.47773361206055,17950400,145.40740966796875,208300,24.97926902770996,56906200,159.8134002685547,699900,84.46257781982422,188300,43.093406677246094,20807900,66.97503662109375,5516900
2018-01-04,82.94371032714844,296700,60.824554443359375,31600,133.0481414794922,275800,148.7812957763672,114000,48.614967346191406,15455100,145.44427490234375,252000,25.210643768310547,62247000,160.73214721679688,533800,85.00576782226562,156700,42.73553466796875,14971800,65.82131958007812,4734100
2018-01-05,82.91948699951172,240600,61.194515228271484,16300,133.79173278808594,130700,149.97715759277344,98900,48.82939910888672,15555100,146.58827209472656,157400,25.281827926635742,37989500,162.4466552734375,741900,84.81844329833984,163400,42.71889114379883,23416300,65.85381317138672,5742900
2018-01-08,83.38742065429688,305400,61.36268997192383,18000,134.37924194335938,112500,150.2107696533203,75200,48.94947814941406,12891000,145.88711547851562,280000,25.246232986450195,44252100,163.22335815429688,635800,85.31478881835938,111400,43.11837387084961,14300500,66.195068359375,4763200
2018-01-09,83.20186614990234,211600,61.480403900146484,13100,134.9300537109375,155900,150.37893676757812,65100,48.880855560302734,8357600,147.69534301757812,289000,25.442007064819336,51418700,162.8065643310547,577200,84.62179565429688,115800,42.693931579589844,15438700,65.3419418334961,4631000
2018-01-10,83.0727767944336,889200,61.16088104248047,41900,134.81991577148438,681100,150.22946166992188,111200,48.640682220458984,9663500,147.5200653076172,216800,25.655588150024414,64670900,162.2761688232422,423300,83.85387420654297,313900,42.227874755859375,15562000,64.61066436767578,6244400
2018-01-11,84.79926300048828,332500,61.8671760559082,18800,136.68345642089844,226500,152.7801971435547,112300,48.57208251953125,11500800,148.276611328125,399600,25.780170440673828,42361700,163.33705139160156,462400,84.6124267578125,111300,42.06975555419922,16545500,64.39129638671875,5067100
2018-01-12,85.50921630859375,367200,62.396881103515625,58900,137.8126678466797,173900,154.48062133789062,115100,48.589237213134766,7308900,149.30984497070312,189500,26.01154136657715,44537500,164.2747802734375,497700,85.23988342285156,94900,41.828399658203125,18635300,63.871273040771484,5154600
2018-01-16,84.46041870117188,1475700,61.95124435424805,39400,136.48153686523438,345700,153.3220672607422,116000,48.81223678588867,13806700,149.54054260253906,549200,25.940353393554688,67563800,163.53594970703125,686000,84.47196197509766,310300,41.73685073852539,27292800,63.99315643310547,5760800
2018-01-17,85.10581970214844,218400,62.08576202392578,22800,137.22509765625,206500,154.1442413330078,112200,49.36975860595703,12549700,151.04429626464844,394000,26.13612937927246,54312000,166.0365447998047,469600,84.64988708496094,122800,41.994850158691406,23451600,64.4400405883789,5560300
2018-01-18,84.3958740234375,238100,62.01852798461914,24300,136.51820373535156,120600,154.03216552734375,62700,49.22394561767578,12423300,151.08123779296875,152800,26.10053062438965,49247400,166.36807250976562,527300,84.4063949584961,101500,41.72853088378906,21329700,63.611297607421875,4548200
2018-01-19,84.30711364746094,233900,62.36326599121094,306100,137.1425018310547,126400,155.536376953125,70300,49.77287292480469,9962800,151.78236389160156,160000,26.287418365478516,60727800,166.71853637695312,448400,84.96831512451172,111600,41.603702545166016,18631900,63.95252227783203,4546800
2018-01-22,86.0820083618164,330600,62.396881103515625,15500,137.10574340820312,128600,157.07801818847656,91000,50.1502685546875,7871600,153.31385803222656,201000,26.500988006591797,46868900,168.0067596435547,478000,86.62590026855469,94100,41.66196060180664,20536500,64.53753662109375,4767400
2018-01-23,86.04977416992188,255300,62.20349884033203,31100,137.2893829345703,213200,158.25531005859375,167400,49.9873046875,10908900,152.96328735351562,342800,26.527677536010742,60862000,169.02975463867188,533500,85.5770263671875,137900,42.061424255371094,26673900,65.43128967285156,4599700
2018-01-24,85.74317932128906,277300,62.56504821777344,36600,137.0139617919922,135600,158.81590270996094,121100,50.09022903442383,16603500,153.2400360107422,287000,26.705657958984375,66371000,167.52369689941406,704400,85.98909759521484,63900,41.80343246459961,19531400,65.09004974365234,6242500
2018-01-25,84.99288940429688,144500,62.6154899597168,23800,137.0598907470703,157400,158.4608612060547,87900,50.115962982177734,12144600,154.5132293701172,191000,26.652267456054688,45423700,167.0879669189453,697900,86.41987609863281,66100,42.452579498291016,26285000,64.97628784179688,4765000
2018-01-26,85.4850082397461,145500,63.16202926635742,18200,138.4093780517578,125200,159.78759765625,71100,50.35611343383789,6342700,157.47467041015625,239400,26.848047256469727,33871900,169.73069763183594,409000,87.08477783203125,163300,42.4775505065918,23950000,64.74879455566406,4966400
