,Date,Real Price,Predicted Price
0,2022-12-29,55300.0,58142.30468869209
1,2023-01-02,55500.0,57726.18918120861
2,2023-01-03,55400.0,57270.254001021385
3,2023-01-04,57800.0,56831.80397748947
4,2023-01-05,58200.0,56690.405040979385
5,2023-01-06,58999.99999999999,56758.64586234093
6,2023-01-09,60700.0,57025.42133629322
7,2023-01-10,60400.0,57545.975133776665
8,2023-01-11,60500.0,58130.55782020092
9,2023-01-12,60500.0,58718.936160206795
10,2023-01-13,60800.0,59246.08826637268
11,2023-01-16,61100.0,59687.8367215395
12,2023-01-17,61000.0,60070.90286910534
13,2023-01-18,60400.0,60368.56681108475
14,2023-01-19,61500.0,60512.17578351498
15,2023-01-20,61800.0,60659.762531518936
16,2023-01-25,63400.0,60824.88213479519
17,2023-01-26,63900.0,61110.42918264866
18,2023-01-27,64600.0,61503.03649902344
19,2023-01-30,63300.0,61960.090428590775
20,2023-01-31,61000.0,62287.64261305332
21,2023-02-01,61800.0,62293.73502731323
22,2023-02-02,63500.0,62187.52032518387
23,2023-02-03,63800.0,62184.60492789745
24,2023-02-06,61600.0,62248.03541600704
25,2023-02-07,61900.0,62142.61569082737
26,2023-02-08,63100.0,61986.20903491974
27,2023-02-09,63000.0,61928.23497951031
28,2023-02-10,62800.00000000001,61905.82674741745
29,2023-02-13,62900.00000000001,61899.26601946354
30,2023-02-14,63200.0,61904.089361429214
31,2023-02-15,62199.99999999999,61956.11843466759
32,2023-02-16,63700.0,61943.499982357025
33,2023-02-17,62600.00000000001,62019.13698017597
34,2023-02-20,62700.00000000001,62048.95584285259
35,2023-02-21,62099.99999999999,62057.08195269108
36,2023-02-22,61100.0,61974.65440630913
37,2023-02-23,61999.99999999999,61768.78283917904
38,2023-02-24,61300.0,61591.52755141258
39,2023-02-27,60500.0,61397.833585739136
40,2023-02-28,60600.0,61138.86912167072
41,2023-03-02,60800.0,60877.51105427742
42,2023-03-03,60500.0,60644.50331032276
43,2023-03-06,61500.0,60445.46276330948
44,2023-03-07,60700.0,60375.22293627262
45,2023-03-08,60300.0,60311.61032617092
46,2023-03-09,60100.0,60225.7080078125
47,2023-03-10,59500.00000000001,60128.74683737755
48,2023-03-13,60000.0,59961.33480966091
49,2023-03-14,58999.99999999999,59840.12684226036
50,2023-03-15,59800.00000000001,59647.91876077652
51,2023-03-16,59900.0,59519.521310925484
52,2023-03-17,61300.0,59443.75278055668
53,2023-03-20,60200.0,59555.577129125595
54,2023-03-21,60300.0,59655.145823955536
55,2023-03-22,61100.0,59746.42218649387
56,2023-03-23,62299.99999999999,59900.57110786438
57,2023-03-24,63000.0,60188.4293705225
58,2023-03-27,62099.99999999999,60576.20467245579
59,2023-03-28,62900.00000000001,60896.29130065441
60,2023-03-29,62700.00000000001,61220.75752913952
61,2023-03-30,63200.0,61508.059307932854
62,2023-03-31,64000.0,61784.6794873476
63,2023-04-03,63100.0,62095.46633064747
64,2023-04-04,63600.0,62310.54084002972
65,2023-04-05,63900.0,62488.85416984558
66,2023-04-06,62299.99999999999,62658.12499821186
67,2023-04-07,64999.99999999999,62643.79517734051
68,2023-04-10,65700.0,62768.62534880638
69,2023-04-11,65900.0,63027.49586105347
70,2023-04-12,66000.0,63345.01688182354
71,2023-04-13,66100.0,63662.36011683941
72,2023-04-14,65099.99999999999,63977.4152636528
73,2023-04-17,65299.99999999999,64140.47659933567
74,2023-04-18,65600.0,64230.92474043369
75,2023-04-19,65500.00000000001,64275.215074419975
76,2023-04-20,65299.99999999999,64284.52064096928
77,2023-04-21,65700.0,64262.51423358917
78,2023-04-24,65199.99999999999,64260.12207567692
79,2023-04-25,63600.0,64230.504125356674
80,2023-04-26,64100.0,64029.55274283886
81,2023-04-27,64600.0,63795.77314853668
82,2023-04-28,65500.00000000001,63602.55183279514
83,2023-05-02,65700.0,63540.137469768524
84,2023-05-03,65399.99999999999,63400.812700390816
85,2023-05-04,65099.99999999999,63381.25337660313
86,2023-05-08,65900.0,63543.98949444294
87,2023-05-09,65299.99999999999,63947.47643172741
88,2023-05-10,64600.0,64490.77235162258
89,2023-05-11,64200.0,65078.300788998604
90,2023-05-12,64100.0,65647.85407483578
91,2023-05-15,64500.0,66184.79017913342
92,2023-05-16,65399.99999999999,66707.83153176308
93,2023-05-17,64999.99999999999,67236.67043447495
94,2023-05-18,66200.0,67692.74437427521
95,2023-05-19,68400.0,68150.77251195908
96,2023-05-22,68500.0,68722.59798645973
97,2023-05-23,68400.0,69300.21378397942
98,2023-05-24,68500.0,69819.59679722786
99,2023-05-25,68800.0,70248.28016757965
100,2023-05-26,70300.0,70608.2746386528
101,2023-05-30,72300.0,71001.39218568802
102,2023-05-31,71400.0,71483.37370157242
103,2023-06-01,70900.0,71887.73655891418
104,2023-06-02,72200.0,72183.86402726173
105,2023-06-05,71700.0,72464.58339691162
106,2023-06-07,71000.0,72662.3360812664
107,2023-06-08,70900.0,72743.8371181488
108,2023-06-09,72000.0,72739.0325665474
109,2023-06-12,71000.0,72757.66104459763
110,2023-06-13,72000.0,72711.51769161224
111,2023-06-14,71900.0,72702.29595899582
112,2023-06-15,71500.0,72684.76021289825
113,2023-06-16,71800.0,72653.94401550293
114,2023-06-19,71200.0,72626.6199350357
115,2023-06-20,71400.0,72561.06179952621
116,2023-06-21,70500.0,72488.94149065018
117,2023-06-22,71300.0,72369.85105276108
118,2023-06-23,71600.0,72281.8109691143
119,2023-06-26,72400.0,72253.24094295502
120,2023-06-27,72600.0,72311.46216392517
121,2023-06-28,72700.0,72438.3693933487
122,2023-06-29,72400.0,72591.76236391068
123,2023-06-30,72200.0,72716.83102846146
124,2023-07-03,73000.0,72803.92003059387
125,2023-07-04,73000.0,72902.87587046623
126,2023-07-05,72000.0,72995.54994702339
127,2023-07-06,71600.0,73022.96075224876
128,2023-07-07,69900.0,72976.71043872833
129,2023-07-10,69500.0,72774.46830272675
130,2023-07-11,71500.0,72473.72129559517
131,2023-07-12,71900.0,72300.2804517746
132,2023-07-13,71900.0,72224.36159849167
133,2023-07-14,73400.0,72214.42583203316
134,2023-07-17,73300.0,72356.05025291443
135,2023-07-18,72000.0,72566.93017482758
136,2023-07-19,71700.0,72710.82389354706
137,2023-07-20,71000.0,72775.673776865
138,2023-07-21,70300.0,72744.64654922485
139,2023-07-24,70400.0,72620.52896618843
140,2023-07-25,70000.0,72457.81886577606
141,2023-07-26,69800.0,72256.41506910324
142,2023-07-27,71700.0,72048.06172847748
143,2023-07-28,70600.0,71985.62279343605
144,2023-07-31,69800.0,71928.38156223297
145,2023-08-01,71100.0,71841.72329306602
146,2023-08-02,69900.0,71833.58851075172
147,2023-08-03,68800.0,71786.84386610985
148,2023-08-04,68300.0,71650.33620595932
149,2023-08-07,68500.0,71445.20324468613
150,2023-08-08,67600.0,71225.48896074295
151,2023-08-09,68900.0,70972.77012467384
152,2023-08-10,68000.0,70815.1883482933
153,2023-08-11,67500.0,70685.58976054192
154,2023-08-14,67300.0,70549.35961961746
155,2023-08-16,67000.0,70394.44318413734
156,2023-08-17,66700.0,70239.95459079742
157,2023-08-18,66300.0,70077.79085636139
158,2023-08-21,66600.0,69915.78900814056
159,2023-08-22,66600.0,69782.6954126358
160,2023-08-23,67100.0,69682.21032619476
161,2023-08-24,68200.0,69654.06236052513
162,2023-08-25,67100.0,69747.14693427086
163,2023-08-28,66800.0,69825.49408078194
164,2023-08-29,66800.0,69881.58476352692
165,2023-08-30,67100.0,69919.52973604202
166,2023-08-31,66900.0,69951.49648189545
167,2023-09-01,71000.0,69968.4424996376
168,2023-09-04,71200.0,70258.12342762947
169,2023-09-05,70700.0,70669.47340965271
170,2023-09-06,70000.0,71072.11044430733
171,2023-09-07,70400.0,71383.32802057266
172,2023-09-08,70300.0,71640.48427343369
