,Date,Real Price,Predicted Price
0,2023-02-14,63200.0,63797.9248046875
1,2023-02-15,62200.0,64045.206451416016
2,2023-02-16,63700.0,63681.593322753906
3,2023-02-17,62600.0,64331.695556640625
4,2023-02-20,62699.99999999999,63993.934631347656
5,2023-02-21,62099.99999999999,63875.49057006836
6,2023-02-22,61100.0,63477.5634765625
7,2023-02-23,62000.0,62720.38116455078
8,2023-02-24,61300.0,62870.147705078125
9,2023-02-27,60500.0,62591.33987426758
10,2023-02-28,60599.99999999999,61989.11113739014
11,2023-03-02,60800.0,61763.498878479004
12,2023-03-03,60500.0,61781.49127960205
13,2023-03-06,61499.99999999999,61641.17298126221
14,2023-03-07,60700.0,62132.09705352783
15,2023-03-08,60299.99999999999,61923.61602783203
16,2023-03-09,60100.0,61549.407958984375
17,2023-03-10,59500.0,61247.902488708496
18,2023-03-13,59999.99999999999,60723.2292175293
19,2023-03-14,59000.0,60733.42876434326
20,2023-03-15,59800.0,60183.2145690918
21,2023-03-16,59900.0,60405.20305633545
22,2023-03-17,61300.0,60535.75553894043
23,2023-03-20,60200.0,61428.25736999512
24,2023-03-21,60299.99999999999,61270.176124572754
25,2023-03-22,61100.0,61250.765800476074
26,2023-03-23,62300.0,61684.22107696533
27,2023-03-24,62999.99999999999,62497.46398925781
28,2023-03-27,62099.99999999999,63286.09580993652
29,2023-03-28,62900.0,63134.840393066406
30,2023-03-29,62699.99999999999,63482.17544555664
31,2023-03-30,63200.0,63486.63749694824
32,2023-03-31,64000.0,63825.34255981445
33,2023-04-03,63100.0,64454.483795166016
34,2023-04-04,63599.99999999999,64250.504302978516
35,2023-04-05,63899.99999999999,64408.082580566406
36,2023-04-06,62300.0,64621.730041503906
37,2023-04-07,65000.0,63848.41957092285
38,2023-04-10,65700.0,65080.2490234375
39,2023-04-11,65900.0,65989.12506103516
40,2023-04-12,66000.0,66528.10287475586
41,2023-04-13,66100.0,66787.91122436523
42,2023-04-14,65099.99999999999,66914.91088867188
43,2023-04-17,65300.0,66469.0444946289
44,2023-04-18,65600.0,66361.51351928711
45,2023-04-19,65500.0,66496.67282104492
46,2023-04-20,65300.0,66513.44757080078
47,2023-04-21,65700.0,66386.4273071289
48,2023-04-24,65200.0,66592.41409301758
49,2023-04-25,63599.99999999999,66406.39266967773
50,2023-04-26,64100.0,65491.373443603516
51,2023-04-27,64600.0,65319.00939941406
52,2023-04-28,65500.0,65483.863830566406
53,2023-05-02,65700.0,66113.09204101562
54,2023-05-03,65399.99999999999,66536.11373901367
55,2023-05-04,65099.99999999999,66532.79037475586
56,2023-05-08,65900.0,66385.73837280273
57,2023-05-09,65300.0,66824.28512573242
58,2023-05-10,64600.0,66692.57736206055
59,2023-05-11,64199.99999999999,66262.29553222656
60,2023-05-12,64100.0,65846.87042236328
61,2023-05-15,64499.99999999999,65551.78451538086
62,2023-05-16,65399.99999999999,65610.52474975586
63,2023-05-17,65000.0,66214.65835571289
64,2023-05-18,66200.0,66291.19644165039
65,2023-05-19,68400.0,67024.12872314453
66,2023-05-22,68500.0,68648.80294799805
67,2023-05-23,68400.0,69365.59219360352
68,2023-05-24,68500.0,69577.81372070312
69,2023-05-25,68800.0,69662.1955871582
70,2023-05-26,70300.0,69938.49716186523
71,2023-05-30,72300.0,70923.12622070312
72,2023-05-31,71400.0,72500.0991821289
73,2023-06-01,70900.0,72613.67950439453
74,2023-06-02,72200.0,72325.48751831055
75,2023-06-05,71700.0,72937.33215332031
76,2023-06-07,71000.0,72930.8822631836
77,2023-06-08,70900.0,72536.61499023438
78,2023-06-09,72000.0,72255.55038452148
79,2023-06-12,71000.0,72739.44778442383
80,2023-06-13,72000.0,72429.29229736328
81,2023-06-14,71900.0,72939.38522338867
82,2023-06-15,71500.0,73088.20419311523
83,2023-06-16,71800.0,72978.68423461914
84,2023-06-19,71200.0,73096.20590209961
85,2023-06-20,71400.0,72785.46676635742
86,2023-06-21,70500.0,72725.49057006836
87,2023-06-22,71300.0,72196.69799804688
88,2023-06-23,71600.0,72405.9829711914
89,2023-06-26,72400.0,72736.16790771484
90,2023-06-27,72600.0,73334.19036865234
91,2023-06-28,72700.0,73701.11999511719
92,2023-06-29,72400.0,73908.01544189453
93,2023-06-30,72200.0,73885.56671142578
94,2023-07-03,73000.0,73763.58413696289
95,2023-07-04,73000.0,74174.6353149414
96,2023-07-05,72000.0,74357.26013183594
97,2023-07-06,71600.0,73891.4924621582
98,2023-07-07,69900.0,73468.57376098633
99,2023-07-10,69500.0,72321.37222290039
100,2023-07-11,71500.0,71597.84698486328
101,2023-07-12,71900.0,72373.52066040039
102,2023-07-13,71900.0,72859.38415527344
103,2023-07-14,73400.0,73119.17877197266
104,2023-07-17,73300.0,74074.29809570312
105,2023-07-18,72000.0,74372.29309082031
106,2023-07-19,71700.0,73822.75695800781
107,2023-07-20,71000.0,73477.83889770508
108,2023-07-21,70300.0,72911.2533569336
109,2023-07-24,70400.0,72223.13613891602
110,2023-07-25,70000.0,71964.03503417969
111,2023-07-26,69800.0,71617.42553710938
112,2023-07-27,71700.0,71306.02951049805
113,2023-07-28,70600.0,72166.943359375
114,2023-07-31,69800.0,71950.79193115234
115,2023-08-01,71100.0,71505.4702758789
116,2023-08-02,69900.0,72055.56030273438
117,2023-08-03,68800.0,71653.91616821289
118,2023-08-04,68300.0,70931.1050415039
119,2023-08-07,68500.0,70360.00595092773
120,2023-08-08,67600.0,70186.03286743164
121,2023-08-09,68900.0,69668.59970092773
122,2023-08-10,68000.0,70175.27084350586
123,2023-08-11,67500.0,69852.01873779297
124,2023-08-14,67300.0,69482.32421875
125,2023-08-16,67000.0,69182.3013305664
126,2023-08-17,66700.0,68807.93991088867
127,2023-08-18,66300.0,68396.61178588867
128,2023-08-21,66600.0,67939.30130004883
129,2023-08-22,66600.0,67912.13989257812
130,2023-08-23,67100.0,67940.91262817383
131,2023-08-24,68200.0,68215.1382446289
132,2023-08-25,67100.0,69012.41607666016
133,2023-08-28,66800.0,68682.46688842773
134,2023-08-29,66800.0,68341.09420776367
135,2023-08-30,67100.0,68172.04666137695
136,2023-08-31,66900.0,68282.76138305664
137,2023-09-01,71000.0,68184.912109375
138,2023-09-04,71200.0,70362.85781860352
139,2023-09-05,70700.0,71477.85339355469
140,2023-09-06,70000.0,71643.29147338867
141,2023-09-07,70400.0,71322.61657714844
142,2023-09-08,70300.0,71387.87536621094
