Date,"Selling, General & Admin",Research & Development,Operating Expenses,Dividend Per Share,Other Long-Term Assets,Other Current Liabilities,Common Stock,Retained Earnings,Shareholders' Equity,Net Cash / Debt,Market Capitalization,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,Debt / Equity Ratio,Dividend Yield,ROE,Share-Based Compensation,Adj Close
2013-09-30,2681.3516483516482,1171.5604395604396,3852.912087912088,0.109,5144.791208791209,11264.45054945055,19781.472527472528,104369.73626373627,123683.83516483517,130066.4945054945,440011.4835164835,309944.989010989,11.878901098901098,2.577252747252747,3.557472527472527,9.874065934065934,8.19967032967033,0.1397802197802198,0.023934065934065933,0.06168084379986349,557.7692307692307,14.860145568847656
2013-10-01,2685.5274725274726,1173.3406593406594,3858.868131868132,0.109,5144.186813186813,11281.175824175823,19790.20879120879,104426.6043956044,123751.25274725274,130199.24175824175,440729.7252747253,310530.4835164835,11.898351648351648,2.580879120879121,3.561208791208791,9.891098901098902,8.214505494505495,0.1396703296703297,0.023901098901098903,0.062120372127204594,559.1538461538462,15.209559440612793
2013-10-02,2689.703296703297,1175.1208791208792,3864.8241758241757,0.109,5143.582417582417,11297.901098901099,19798.945054945056,104483.47252747252,123818.67032967033,130331.98901098901,441447.967032967,311115.978021978,11.917802197802198,2.5845054945054944,3.564945054945055,9.908131868131868,8.229340659340659,0.13956043956043956,0.02386813186813187,0.06255990045454571,560.5384615384615,15.259427070617676
2013-10-03,2693.879120879121,1176.901098901099,3870.78021978022,0.109,5142.978021978022,11314.626373626374,19807.68131868132,104540.34065934065,123886.08791208791,130464.73626373627,442166.2087912088,311701.47252747254,11.937252747252748,2.588131868131868,3.5686813186813184,9.925164835164836,8.244175824175825,0.13945054945054947,0.023835164835164836,0.06299942878188682,561.9230769230769,15.06773567199707
2013-10-04,2698.054945054945,1178.6813186813188,3876.736263736264,0.109,5142.373626373626,11331.351648351649,19816.417582417584,104597.20879120879,123953.5054945055,130597.48351648351,442884.4505494505,312286.967032967,11.956703296703296,2.5917582417582414,3.5724175824175823,9.942197802197802,8.259010989010989,0.13934065934065934,0.023802197802197802,0.06343895710922792,563.3076923076923,15.055889129638672
2013-10-07,2710.5824175824177,1184.021978021978,3894.6043956043954,0.109,5140.56043956044,11381.527472527472,19842.626373626375,104767.81318681319,124155.75824175825,130995.72527472528,445039.1758241758,314043.4505494505,12.015054945054946,2.6026373626373625,3.5836263736263736,9.993296703296703,8.303516483516484,0.13901098901098902,0.023703296703296704,0.06475754209125126,567.4615384615385,15.203011512756348
2013-10-08,2714.7582417582416,1185.8021978021977,3900.5604395604396,0.109,5139.956043956044,11398.252747252747,19851.362637362636,104824.68131868132,124223.17582417582,131128.47252747254,445757.4175824176,314628.94505494507,12.034505494505494,2.606263736263736,3.587362637362637,10.01032967032967,8.318351648351648,0.13890109890109892,0.02367032967032967,0.06519707041859236,568.8461538461538,14.990747451782227
2013-10-09,2718.934065934066,1187.5824175824175,3906.5164835164837,0.109,5139.351648351649,11414.978021978022,19860.0989010989,104881.54945054946,124290.59340659341,131261.21978021978,446475.65934065933,315214.43956043955,12.053956043956044,2.60989010989011,3.591098901098901,10.027362637362637,8.333186813186813,0.1387912087912088,0.023637362637362637,0.06563659874593347,570.2307692307693,15.166855812072754
2013-10-10,2723.1098901098903,1189.3626373626373,3912.4725274725274,0.109,5138.747252747253,11431.703296703297,19868.835164835164,104938.41758241758,124358.01098901099,131393.96703296702,447193.9010989011,315799.93406593404,12.073406593406594,2.6135164835164835,3.594835164835165,10.044395604395604,8.348021978021977,0.1386813186813187,0.023604395604395603,0.0660761270732746,571.6153846153846,15.261924743652344
2013-10-11,2727.285714285714,1191.142857142857,3918.4285714285716,0.109,5138.142857142857,11448.42857142857,19877.571428571428,104995.28571428571,124425.42857142857,131526.7142857143,447912.14285714284,316385.4285714286,12.092857142857143,2.617142857142857,3.5985714285714283,10.061428571428571,8.362857142857143,0.1385714285714286,0.023571428571428573,0.0665156554006157,573.0,15.360726356506348
2013-10-14,2739.813186813187,1196.4835164835165,3936.2967032967035,0.109,5136.32967032967,11498.604395604396,19903.78021978022,105165.89010989011,124627.68131868132,131924.95604395604,450066.86813186813,318141.9120879121,12.151208791208791,2.628021978021978,3.6097802197802196,10.112527472527473,8.407362637362636,0.13824175824175824,0.023472527472527472,0.06783424038263902,577.1538461538462,15.461406707763672
2013-10-15,2743.989010989011,1198.2637362637363,3942.252747252747,0.109,5135.725274725275,11515.329670329671,19912.516483516483,105222.75824175825,124695.0989010989,132057.7032967033,450785.1098901099,318727.4065934066,12.170659340659341,2.6316483516483515,3.6135164835164835,10.12956043956044,8.422197802197802,0.13813186813186815,0.023439560439560442,0.06827376870998014,578.5384615384615,15.543695449829102
2013-10-16,2748.164835164835,1200.043956043956,3948.2087912087914,0.109,5135.120879120879,11532.054945054944,19921.252747252747,105279.62637362638,124762.51648351649,132190.45054945056,451503.35164835164,319312.9010989011,12.19010989010989,2.635274725274725,3.617252747252747,10.146593406593407,8.437032967032966,0.13802197802197802,0.023406593406593408,0.06871329703732125,579.9230769230769,15.61943531036377
2013-10-17,2752.3406593406594,1201.8241758241759,3954.164835164835,0.109,5134.516483516483,11548.78021978022,19929.98901098901,105336.49450549451,124829.93406593407,132323.1978021978,452221.5934065934,319898.3956043956,12.20956043956044,2.6389010989010986,3.620989010989011,10.163626373626373,8.451868131868132,0.13791208791208792,0.023373626373626374,0.06915282536466236,581.3076923076923,15.725099563598633
2013-10-18,2756.5164835164837,1203.6043956043957,3960.120879120879,0.109,5133.912087912088,11565.505494505494,19938.725274725275,105393.36263736263,124897.35164835164,132455.94505494504,452939.83516483515,320483.8901098901,12.22901098901099,2.6425274725274726,3.6247252747252747,10.180659340659341,8.466703296703297,0.13780219780219782,0.02334065934065934,0.06959235369200346,582.6923076923077,15.861939430236816
2013-10-21,2769.043956043956,1208.9450549450548,3977.989010989011,0.109,5132.0989010989015,11615.681318681318,19964.934065934067,105563.96703296703,125099.6043956044,132854.18681318683,455094.56043956045,322240.37362637365,12.287362637362637,2.653406593406593,3.635934065934066,10.231758241758241,8.51120879120879,0.13747252747252747,0.023241758241758243,0.0709109386740268,586.8461538461538,16.250619888305664
2013-10-22,2773.21978021978,1210.7252747252746,3983.945054945055,0.109,5131.494505494506,11632.406593406593,19973.67032967033,105620.83516483517,125167.02197802198,132986.93406593407,455812.8021978022,322825.86813186813,12.306813186813187,2.657032967032967,3.6396703296703294,10.248791208791209,8.526043956043956,0.13736263736263737,0.02320879120879121,0.0713504670013679,588.2307692307693,16.20417594909668
2013-10-23,2777.3956043956046,1212.5054945054944,3989.901098901099,0.109,5130.89010989011,11649.131868131868,19982.406593406595,105677.7032967033,125234.43956043955,133119.6813186813,456531.04395604396,323411.3626373626,12.326263736263735,2.6606593406593406,3.6434065934065933,10.265824175824175,8.54087912087912,0.13725274725274728,0.023175824175824176,0.07178999532870903,589.6153846153846,16.36284065246582
2013-10-24,2781.5714285714284,1214.2857142857142,3995.8571428571427,0.109,5130.285714285715,11665.857142857143,19991.14285714286,105734.57142857143,125301.85714285714,133252.42857142858,457249.28571428574,323996.85714285716,12.345714285714285,2.664285714285714,3.6471428571428572,10.282857142857143,8.555714285714286,0.13714285714285715,0.023142857142857142,0.07222952365605013,591.0,16.579469680786133
