,Date,Real Price,Predicted Price
0,2021-10-07,141.6511993408203,148.5068074017158
1,2021-10-08,141.26567077636716,148.53126547108238
2,2021-10-11,141.17669677734375,148.57631241457327
3,2021-10-12,139.89155578613278,148.6119349495411
4,2021-10-13,139.29843139648435,148.64332082379676
5,2021-10-14,142.1158447265625,148.68311517262916
6,2021-10-15,143.1834716796875,148.74555187909434
7,2021-10-18,144.8739318847656,148.84681023167738
8,2021-10-19,147.05865478515625,148.98061089396558
9,2021-10-20,147.55291748046875,149.17722653599682
10,2021-10-21,147.77044677734372,149.37436095280916
11,2021-10-22,146.98947143554688,149.58120078115095
12,2021-10-25,146.94000244140622,149.817718850094
13,2021-10-26,147.61227416992188,150.0728587721164
14,2021-10-27,147.14761352539062,150.33142476925556
15,2021-10-28,150.82508850097653,150.58898564025637
16,2021-10-29,148.08677673339844,150.87404157465468
17,2021-11-01,147.25636291503906,151.2126501973921
18,2021-11-02,148.30424499511716,151.59618687773306
19,2021-11-03,149.75741577148438,151.9975456333659
20,2021-11-04,149.23348999023438,152.38822627475471
21,2021-11-05,149.76809692382812,152.79187628567067
22,2021-11-08,148.93649291992185,153.2131646391435
23,2021-11-09,149.3027801513672,153.66240198394732
24,2021-11-10,146.44166564941406,154.1648029360044
25,2021-11-11,146.39218139648435,154.62838224194363
26,2021-11-12,148.49099731445312,155.07928398917008
27,2021-11-15,148.5008850097656,155.51144499742983
28,2021-11-16,149.49089050292966,155.98110909923886
29,2021-11-17,151.95600891113278,156.41548570812617
30,2021-11-18,156.29222106933594,156.84245896857507
31,2021-11-19,158.94544982910156,157.2377653517619
32,2021-11-22,159.4107513427734,157.63271507728675
33,2021-11-23,159.79684448242188,158.01115047228038
34,2021-11-24,160.32156372070312,158.37509259682744
35,2021-11-26,155.2428283691406,158.72451983531207
36,2021-11-29,158.6385498046875,159.00130779663684
37,2021-11-30,163.64797973632812,159.26513719624242
38,2021-12-01,163.12327575683594,159.49166885064957
39,2021-12-02,162.12333679199216,159.63810384041878
40,2021-12-03,160.22256469726562,159.82026944323522
41,2021-12-06,163.66778564453125,159.96780682941423
42,2021-12-07,169.46917724609375,160.0774412331502
43,2021-12-08,173.33021545410153,160.2095883008237
44,2021-12-09,172.81544494628906,160.3707219093903
45,2021-12-10,177.6565704345703,160.5315204759108
46,2021-12-13,173.98364257812497,160.6762154086018
47,2021-12-14,172.58772277832028,160.8067737285082
48,2021-12-15,177.50805664062497,160.90696210810526
49,2021-12-16,170.53840637207028,161.0004064155482
50,2021-12-17,169.4296112060547,161.08965729351073
51,2021-12-20,168.05349731445312,161.13474746823337
52,2021-12-21,171.26112365722656,161.14844096089243
53,2021-12-22,173.88464355468747,161.17080231551878
54,2021-12-23,174.51823425292966,161.22363088072595
55,2021-12-27,178.5277557373047,161.3352971523545
56,2021-12-28,177.4981536865234,161.49246429540742
57,2021-12-29,177.58726501464844,161.65696994005108
58,2021-12-30,176.4190521240234,161.8351906929697
59,2021-12-31,175.79533386230466,162.00311160492217
60,2022-01-03,180.19097900390622,162.19332902465337
61,2022-01-04,177.904052734375,162.36733473247565
62,2022-01-05,173.1718292236328,162.50251879418008
63,2022-01-06,170.28099060058594,162.58768432074154
64,2022-01-07,170.4493255615234,162.6280406755868
65,2022-01-10,170.4691162109375,162.60764634200538
66,2022-01-11,173.33021545410153,162.5780437560597
67,2022-01-12,173.7757568359375,162.4749264605111
68,2022-01-13,170.4691162109375,162.40029854669044
69,2022-01-14,171.34034729003906,162.31290661169348
70,2022-01-18,168.10299682617185,162.16258081106614
71,2022-01-19,164.56867980957028,161.98043682386557
72,2022-01-20,162.8658752441406,161.74042783295815
73,2022-01-21,160.786865234375,161.37476726694874
74,2022-01-24,160.00471496582028,160.93408970603284
75,2022-01-25,158.1831512451172,160.48173971254252
76,2022-01-26,158.09405517578125,159.9585769614341
77,2022-01-27,157.62873840332028,159.397089723373
78,2022-01-28,168.6277160644531,158.8506253383475
79,2022-01-31,173.0332336425781,158.27982176984275
80,2022-02-01,172.86492919921875,157.77025524112193
81,2022-02-02,174.0826263427734,157.319083298697
82,2022-02-03,171.1719970703125,156.93227185255043
83,2022-02-04,170.88455200195312,156.50465012362517
84,2022-02-07,170.16091918945312,156.07079228951895
85,2022-02-08,173.3032684326172,155.63884743741798
86,2022-02-09,174.7405853271484,155.18925343495218
87,2022-02-10,170.6169281005859,154.786889553181
88,2022-02-11,167.16729736328125,154.39884601692935
89,2022-02-14,167.40521240234375,154.00211300309454
90,2022-02-15,171.2810516357422,153.59518822637298
91,2022-02-16,171.04316711425778,153.2458798737757
92,2022-02-17,167.40521240234375,152.95179941974808
93,2022-02-18,165.8389892578125,152.68366851258267
94,2022-02-22,162.8850402832031,152.3991205451575
95,2022-02-23,158.6721649169922,152.10839051159107
96,2022-02-24,161.31884765625,151.8067013607742
97,2022-02-25,163.410400390625,151.4808891826369
98,2022-02-28,163.6780548095703,151.17368804977102
99,2022-03-01,161.77479553222656,150.93565688771648
100,2022-03-02,165.1054534912109,150.69397268657846
101,2022-03-03,164.7783508300781,150.50323649206618
102,2022-03-04,161.74507141113278,150.3431836642935
103,2022-03-07,157.90887451171875,150.18874008884129
104,2022-03-08,156.0651092529297,150.02729305384443
105,2022-03-09,161.52699279785156,149.8209395768599
106,2022-03-10,157.13571166992188,149.64301063475565
107,2022-03-11,153.37879943847656,149.4773809780863
108,2022-03-14,149.3046722412109,149.2761828254888
109,2022-03-15,153.73562622070312,149.00932723966022
110,2022-03-16,158.1963195800781,148.7117774792841
