Date,Open,High,Low,Close,Adj Close,Volume
8/30/2018,20.150667,20.306667,19.848,20.209999,20.209999,108250500
8/31/2018,20.133333,20.354,19.906668,20.110666,20.110666,80626500
9/4/2018,19.796,19.879333,19.200001,19.263332,19.263332,125257500
9/5/2018,19.003332,19.118668,18.478666,18.716,18.716,115812000
9/6/2018,18.986668,19.411333,18.591999,18.73,18.73,112212000
9/7/2018,17.34,17.889999,16.816668,17.549334,17.549334,337378500
9/10/2018,18.217333,19.068666,18.066668,19.033333,19.033333,214252500
9/11/2018,18.631332,18.799999,18.236668,18.629333,18.629333,137550000
9/12/2018,18.762667,19.5,18.576668,19.369333,19.369333,150231000
9/13/2018,19.201332,19.666668,19.011999,19.297333,19.297333,95104500
9/14/2018,19.250668,19.822001,19.101334,19.68,19.68,101484000
9/17/2018,19.336,20.058001,19.208668,19.656,19.656,103314000
9/18/2018,19.779333,20.176001,18.366667,18.997334,18.997334,248212500
9/19/2018,18.700666,20,18.700001,19.934668,19.934668,124423500
9/20/2018,20.237333,20.398666,19.555332,19.888666,19.888666,110241000
9/21/2018,19.846666,20.038668,19.691334,19.940001,19.940001,75757500
9/24/2018,19.898666,20.200001,19.572001,19.978666,19.978666,72645000
9/25/2018,20,20.306667,19.766666,20.066,20.066,67225500
9/26/2018,20.127333,20.926001,20.073999,20.638666,20.638666,117648000
9/27/2018,20.860001,20.997334,20.460667,20.501333,20.501333,127636500
9/28/2018,18.017332,18.533333,17.370667,17.651333,17.651333,504745500
10/1/2018,20.384666,20.762667,20.07,20.713333,20.713333,326664000
10/2/2018,20.93,21.122667,19.943333,20.068001,20.068001,176152500
10/3/2018,20.222,20.306667,19.438,19.653334,19.653334,119925000
10/4/2018,19.596666,19.6,18.511333,18.788668,18.788668,147213000
10/5/2018,18.309999,18.325333,17.333332,17.463333,17.463333,269167500
10/8/2018,17.634666,17.850668,16.6,16.704,16.704,202090500
10/9/2018,17.016666,17.784666,16.886667,17.52,17.52,180909000
10/10/2018,17.640667,17.700666,16.518,17.125334,17.125334,192229500
10/11/2018,17.168667,17.483334,16.601999,16.815332,16.815332,122515500
10/12/2018,17.4,17.466,16.800667,17.252001,17.252001,108021000
10/15/2018,17.270666,17.552,16.969334,17.306,17.306,93000000
