Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2014-03-14,47615.45054945055,18589.69230769231,14230.91208791209,14459.373626373626,10692.615384615385,24728.20879120879,0.4281318681318681,13465.296703296703,16473.571428571428,14544.208791208792,16.548364639282227
2014-03-17,47221.56043956044,18461.153846153848,14103.329670329671,14331.098901098901,10598.692307692309,24707.967032967033,0.42450549450549446,13182.637362637362,16336.857142857143,14415.967032967033,16.61302947998047
2014-03-18,47090.26373626373,18418.30769230769,14060.802197802197,14288.34065934066,10567.384615384615,24701.21978021978,0.42329670329670327,13088.417582417584,16291.285714285714,14373.21978021978,16.760000228881836
2014-03-19,46958.96703296703,18375.46153846154,14018.274725274725,14245.582417582416,10536.076923076924,24694.472527472528,0.4220879120879121,12994.197802197803,16245.714285714286,14330.472527472528,16.755584716796875
2014-03-20,46827.67032967033,18332.615384615383,13975.747252747253,14202.824175824175,10504.76923076923,24687.725274725275,0.4208791208791208,12899.978021978022,16200.142857142857,14287.725274725275,16.67484474182129
2014-03-21,46696.37362637363,18289.76923076923,13933.21978021978,14160.065934065933,10473.461538461539,24680.978021978022,0.41967032967032963,12805.758241758242,16154.57142857143,14244.978021978022,16.806364059448242
2014-03-24,46302.48351648352,18161.23076923077,13805.637362637362,14031.791208791208,10379.538461538461,24660.736263736264,0.41604395604395605,12523.098901098901,16017.857142857143,14116.736263736264,17.005695343017578
2014-03-25,46171.18681318681,18118.384615384617,13763.10989010989,13989.032967032967,10348.23076923077,24653.98901098901,0.4148351648351648,12428.87912087912,15972.285714285714,14073.989010989011,17.18861961364746
2014-03-26,46039.89010989011,18075.53846153846,13720.582417582418,13946.274725274725,10316.923076923078,24647.24175824176,0.4136263736263736,12334.65934065934,15926.714285714286,14031.241758241758,17.0242977142334
2014-03-27,45908.593406593405,18032.69230769231,13678.054945054944,13903.516483516483,10285.615384615385,24640.494505494506,0.4124175824175824,12240.439560439561,15881.142857142857,13988.494505494506,16.951128005981445
2014-03-28,45777.2967032967,17989.846153846152,13635.527472527472,13860.758241758242,10254.307692307691,24633.747252747253,0.41120879120879117,12146.21978021978,15835.571428571428,13945.747252747253,16.932207107543945
2014-03-31,45465.47252747253,17876.406593406595,13520.23076923077,13744.725274725275,10168.604395604396,24617.76923076923,0.408021978021978,11959.076923076924,15718.351648351649,13830.054945054944,16.928421020507812
2014-04-01,45375.20879120879,17841.10989010989,13483.846153846154,13708.087912087913,10141.406593406593,24613.153846153848,0.407032967032967,11912.615384615385,15682.527472527472,13793.582417582418,17.083276748657227
2014-04-02,45284.945054945056,17805.813186813186,13447.461538461539,13671.45054945055,10114.208791208792,24608.53846153846,0.40604395604395604,11866.153846153846,15646.703296703297,13757.10989010989,17.111661911010742
2014-04-03,45194.681318681316,17770.516483516483,13411.076923076924,13634.813186813188,10087.010989010989,24603.923076923078,0.40505494505494505,11819.692307692309,15610.87912087912,13720.637362637362,16.99307632446289
2014-04-04,45104.41758241758,17735.21978021978,13374.692307692309,13598.175824175823,10059.813186813186,24599.30769230769,0.40406593406593405,11773.23076923077,15575.054945054944,13684.164835164835,16.773242950439453
2014-04-07,44833.62637362637,17629.32967032967,13265.538461538461,13488.263736263736,9978.21978021978,24585.46153846154,0.40109890109890106,11633.846153846154,15467.582417582418,13574.747252747253,16.509889602661133
2014-04-08,44743.36263736264,17594.032967032967,13229.153846153846,13451.626373626374,9951.021978021978,24580.846153846152,0.40010989010989007,11587.384615384615,15431.758241758242,13538.274725274725,16.508947372436523
2014-04-09,44653.0989010989,17558.736263736264,13192.76923076923,13414.989010989011,9923.824175824177,24576.23076923077,0.3991208791208791,11540.923076923076,15395.934065934065,13501.802197802197,16.725934982299805
2014-04-10,44562.83516483517,17523.43956043956,13156.384615384615,13378.351648351649,9896.626373626374,24571.615384615383,0.3981318681318681,11494.461538461539,15360.10989010989,13465.329670329671,16.510208129882812
2014-04-11,44472.57142857143,17488.14285714286,13120.0,13341.714285714286,9869.42857142857,24567.0,0.39714285714285713,11448.0,15324.285714285714,13428.857142857143,16.388147354125977
2014-04-14,44201.78021978022,17382.252747252747,13010.846153846154,13231.802197802197,9787.835164835165,24553.153846153848,0.39417582417582414,11308.615384615385,15216.813186813186,13319.439560439561,16.453439712524414
2014-04-15,44111.51648351648,17346.956043956045,12974.461538461539,13195.164835164835,9760.637362637362,24548.53846153846,0.39318681318681314,11262.153846153846,15180.989010989011,13282.967032967033,16.336111068725586
2014-04-16,44021.25274725274,17311.659340659342,12938.076923076924,13158.527472527472,9733.439560439561,24543.923076923078,0.3921978021978022,11215.692307692309,15145.164835164835,13246.494505494506,16.36922836303711
2014-04-17,43930.98901098901,17276.362637362636,12901.692307692309,13121.89010989011,9706.241758241758,24539.30769230769,0.3912087912087912,11169.23076923077,15109.34065934066,13210.021978021978,16.55624771118164
2014-04-21,43569.93406593407,17135.175824175825,12756.153846153846,12975.34065934066,9597.45054945055,24520.846153846152,0.3872527472527472,10983.384615384615,14966.043956043955,13064.131868131868,16.752744674682617
2014-04-22,43479.67032967033,17099.879120879123,12719.76923076923,12938.703296703297,9570.252747252747,24516.23076923077,0.3862637362637362,10936.923076923076,14930.21978021978,13027.65934065934,16.76946258544922
2014-04-23,43389.406593406595,17064.582417582416,12683.384615384615,12902.065934065935,9543.054945054944,24511.615384615383,0.3852747252747253,10890.461538461539,14894.395604395604,12991.186813186814,16.550260543823242
2014-04-24,43299.142857142855,17029.285714285714,12647.0,12865.42857142857,9515.857142857143,24507.0,0.3842857142857143,10844.0,14858.57142857143,12954.714285714286,17.907087326049805
2014-04-25,43208.87912087912,16993.98901098901,12610.615384615385,12828.791208791208,9488.65934065934,24502.384615384617,0.3832967032967033,10797.538461538461,14822.747252747253,12918.241758241758,18.03860282897949
