Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA15,MA75,MA150,BOL_H,BOL_AVG,BOL_L,RSI,MACD,MACD_SIGNAL,OBV
2013-09-30,12.600000381469727,12.966667175292969,12.533332824707031,12.891332626342773,12.891332626342773,133870500,,,,,,,,,,,133870500
2013-10-01,12.93066692352295,12.9486665725708,12.557999610900879,12.866666793823242,12.866666793823242,116338500,,,,,,,,,,,17532000
2013-10-02,12.572667121887207,12.788666725158691,11.69333267211914,12.063332557678223,12.063332557678223,311631000,,,,,,,,,,,-294099000
2013-10-03,11.670000076293945,11.97933292388916,11.199999809265137,11.553999900817871,11.553999900817871,357247500,,,,,,,,,,,-651346500
2013-10-04,11.760000228881836,12.078666687011719,11.510000228881836,12.065333366394043,12.065333366394043,216210000,12.28813304901123,,,,,,,,,,-435136500
2013-10-07,12.163999557495117,12.4486665725708,12.017333030700684,12.204667091369629,12.204667091369629,172284000,12.1507999420166,,,,,,,,,,-262852500
2013-10-08,12.293333053588867,12.395333290100098,11.547332763671875,11.648667335510254,11.648667335510254,206358000,11.907200050354003,,,,,,,,,,-469210500
2013-10-09,11.648667335510254,11.666000366210938,10.766667366027832,11.251999855041504,11.251999855041504,229747500,11.74493350982666,,,,,,,,,,-698958000
2013-10-10,11.53933334350586,11.716667175292969,11.312666893005371,11.528667449951172,11.528667449951172,133258500,11.739867019653321,,,,,,,,,,-565699500
2013-10-11,11.516667366027832,11.952667236328125,11.41333293914795,11.91333293914795,11.91333293914795,124666500,11.709466934204102,,,,,,,,,,-441033000
2013-10-14,11.666666984558105,12.166666984558105,11.609999656677246,11.981332778930664,11.981332778930664,116544000,11.664800071716309,,,,,,,,,,-324489000
2013-10-15,12.35200023651123,12.586000442504883,12.211999893188477,12.262666702270508,12.262666702270508,164677500,11.78759994506836,,,,,,,,,,-159811500
2013-10-16,12.326666831970215,12.486666679382324,12.13933277130127,12.237333297729492,12.237333297729492,123081000,11.984666633605958,,,,,,,,,,-282892500
2013-10-17,12.236000061035156,12.319999694824219,12.065999984741211,12.186667442321777,12.186667442321777,100575000,12.116266632080078,,,,,,,46.758724063932625,,,-383467500
2013-10-18,12.276666641235352,12.397333145141602,12.168000221252441,12.226667404174805,12.226667404174805,88962000,12.17893352508545,12.058844502766927,,,,,,47.70472129573968,,,-294505500
2013-10-21,12.218667030334473,12.22599983215332,11.399999618530273,11.506667137145996,11.506667137145996,172981500,12.084000396728516,11.96653347015381,,,,,,35.48326939453369,,,-467487000
2013-10-22,11.366666793823242,11.85200023651123,11.074000358581543,11.435999870300293,11.435999870300293,170800500,11.918667030334472,11.871155675252279,,,,,,34.54775265656154,,,-638287500
2013-10-23,11.260666847229004,11.454000473022461,10.676667213439941,10.966667175292969,10.966667175292969,199806000,11.664533805847167,11.798044649759929,,,,,,29.066626885480957,,,-838093500
2013-10-24,11.0,11.633333206176758,10.85533332824707,11.543333053588867,11.543333053588867,162385500,11.535866928100585,11.797333526611329,,,,,,41.37407006103673,,,-675708000
2013-10-25,11.61400032043457,11.633333206176758,11.119999885559082,11.310667037963867,11.310667037963867,113932500,11.352666854858398,11.747022438049317,,,12.877797495030409,11.882300090789794,10.88680268654918,38.47356865843871,,,-789640500
2013-10-28,11.345333099365234,11.366666793823242,10.813332557678223,10.857333183288574,10.857333183288574,117625500,11.222800064086915,11.65720017751058,,,12.758416893518753,11.780600118637086,10.802783343755419,33.53983560504142,,,-907266000
2013-10-29,10.850666999816895,11.029999732971191,10.199999809265137,10.964667320251465,10.964667320251465,211675500,11.128533554077148,11.611600176493328,,,12.589486166405516,11.685500144958496,10.781514123511476,35.64412644481355,,,-695590500
2013-10-30,10.975333213806152,11.178667068481445,10.54466724395752,10.614666938781738,10.614666938781738,126027000,11.058133506774903,11.569111315409343,,,12.611560575004244,11.613066864013671,10.614573153023098,32.077480974807244,,,-821617500
2013-10-31,10.378000259399414,10.829333305358887,10.220000267028809,10.662667274475098,10.662667274475098,140007000,10.882000350952149,11.511377970377604,,,12.649702825696881,11.568500232696532,10.487297639696184,33.06666001070734,,,-681610500
2013-11-01,10.866666793823242,11.0600004196167,10.694000244140625,10.811332702636719,10.811332702636719,107709000,10.782133483886719,11.437911287943523,,,12.609686865625747,11.505800199508666,10.401913533391586,36.16732304737523,,,-573901500
2013-11-04,11.0,11.692667007446289,10.947999954223633,11.680000305175781,11.680000305175781,196806000,10.94666690826416,11.417822456359863,,,12.539849449002894,11.479566860198975,10.419284271395057,50.574823089137965,-0.3709184082275083,,-377095500
2013-11-05,12.0,12.095333099365234,11.423999786376953,11.787332534790039,11.787332534790039,337006500,11.111199951171875,11.386133511861166,,,12.552910845768734,11.486500120162964,10.420089394557193,52.01595468568644,-0.30023887635904956,,-40089000
2013-11-06,10.320667266845703,10.715332984924316,9.756667137145996,10.077333450317383,10.077333450317383,466075500,11.003733253479004,11.242133522033692,,,12.656418699317095,11.427766799926758,10.19911490053642,34.67102618853643,-0.3778518324729294,,-506164500
2013-11-07,9.612667083740234,9.710000038146973,9.174667358398438,9.317999839782715,9.317999839782715,334270500,10.734799766540528,11.050889015197754,,,12.8498462583431,11.317233419418335,9.78462058049357,29.902682801559223,-0.49492732163645137,,-840435000
2013-11-08,9.09866714477539,9.373332977294922,8.821332931518555,9.196666717529297,9.196666717529297,337168500,10.411866569519043,10.848888969421386,,,12.943045095384434,11.181400108337403,9.419755121290372,29.211355092292337,-0.5906919303444802,,-1177603500
2013-11-11,9.399999618530273,9.694666862487793,9.140000343322754,9.646666526794434,9.646666526794434,209964000,10.005199813842774,10.724888928731282,,,12.90640222001551,11.064666795730592,9.222931371445673,35.19543078099629,-0.6230922295293979,,-967639500
2013-11-12,9.645999908447266,9.646666526794434,9.078666687011719,9.186667442321777,9.186667442321777,224778000,9.485066795349121,10.574933433532715,,,12.838483811715431,10.910866832733154,8.983249853750877,32.1989941010867,-0.6780713968313066,,-1192417500
2013-11-13,9.38933277130127,9.4913330078125,9.089332580566406,9.24666690826416,9.24666690826416,189874500,9.318933486938477,10.460266749064127,,,12.717931577323771,10.761333513259888,8.804735449196006,33.000242456975414,-0.7086326514589771,,-1002543000
2013-11-14,9.261333465576172,9.359999656677246,8.940667152404785,9.173333168029785,9.173333168029785,183055500,9.29000015258789,10.302266756693522,,,12.569112052095253,10.610666799545289,8.652221546995325,32.49478361498717,-0.7303510535767437,-0.5855072898187194,-1185598500
2013-11-15,9.123332977294922,9.196666717529297,8.956666946411133,9.029999732971191,9.029999732971191,148503000,9.25666675567627,10.15022226969401,,,12.377159206050775,10.450833415985107,8.524507625919439,31.47986801768161,-0.750477812977655,-0.6185013944505066,-1334101500
2013-11-18,9.017999649047852,9.029999732971191,7.973999977111816,8.10533332824707,8.10533332824707,347073000,8.948400115966797,9.966755612691243,,,12.395561631824048,10.280766725540161,8.165971819256274,25.86700251009482,-0.8314567500591803,-0.6610924655722413,-1681174500
2013-11-19,7.961999893188477,8.600000381469727,7.947999954223633,8.406000137329102,8.406000137329102,297243000,8.792266654968262,9.79617780049642,,,12.32393886477516,10.129266738891602,7.934594613008043,30.223580626321564,-0.8614416789562895,-0.701162308249051,-1383931500
2013-11-20,8.405332565307617,8.49666690826416,7.937333106994629,8.074000358581543,8.074000358581543,207744000,8.557733345031739,9.626800028483073,,,12.316475289701934,9.98463339805603,7.652791506410124,28.24942856662817,-0.9016014582605951,-0.7412501382513599,-1591675500
2013-11-21,8.192667007446289,8.31933307647705,8.016667366027832,8.140000343322754,8.140000343322754,178557000,8.351066780090331,9.458622233072917,,,12.163144086135384,9.814466762542725,7.4657894389500665,29.23893758312741,-0.9175260562745198,-0.7765053218559919,-1413118500
2013-11-22,8.10533332824707,8.183333396911621,7.861999988555908,8.092000007629395,8.092000007629395,166450500,8.163466835021973,9.277333386739095,,,12.011147095953842,9.653533411026,7.295919726098159,28.926491363992525,-0.9233755423945933,-0.8058793659637122,-1579569000
2013-11-25,8.300000190734863,8.38933277130127,8.020000457763672,8.055999755859375,8.055999755859375,154009500,8.153600120544434,9.035733350118,,,11.901031100081468,9.513466739654541,7.125902379227615,28.67896407109349,-0.9203074898675343,-0.8287649907444767,-1733578500
2013-11-26,7.958666801452637,8.1813325881958,7.739999771118164,8.033332824707031,8.033332824707031,208282500,8.07906665802002,8.785466702779134,,,11.739977976543088,9.36690001487732,6.993822053211551,28.513520443146263,-0.9092240986078597,-0.8448568123171534,-1941861000
2013-11-27,8.087332725524902,8.463333129882812,7.9679999351501465,8.462667465209961,8.462667465209961,185514000,8.156800079345704,8.677822303771972,,,11.591108531683926,9.259300041198731,6.927491550713538,36.03986110479214,-0.8559300845767392,-0.8470714667690706,-1756347000
2013-11-29,8.65133285522461,8.706000328063965,8.465332984924316,8.485333442687988,8.485333442687988,145743000,8.22586669921875,8.622311210632324,,,11.41225561295893,9.150433349609376,6.8886110862598215,36.42043650186432,-0.8026132140176205,-0.8381798162187807,-1610604000
