Date,Energy Adj Close,Energy Volume,Materials Adj Close,Materials Volume,Industrials Adj Close,Industrials Volume,Consumer Cyclical Adj Close,Consumer Cyclical Volume,Consumer Staples Adj Close,Consumer Staples Volume,Health Care Adj Close,Health Care Volume,Financials Adj Close,Financials Volume,Information Technology Adj Close,Information Technology Volume,Communication Services Adj Close,Communication Services Volume,Utilities Adj Close,Utilities Volume,Real Estate Adj Close,Real Estate Volume
2013-09-30,86.70291137695312,136700,45.77814483642578,24700,76.68846893310547,107400,87.71215057373047,141800,30.570993423461914,8120800,81.59197998046875,351700,13.339578628540039,49069260,72.77081298828125,380600,65.67253875732422,15500,26.817522048950195,9595800,44.70687484741211,3804700
2013-10-01,87.36421203613281,76500,45.85463333129883,22700,77.31473541259766,571400,88.54650115966797,97900,30.755329132080078,7152300,82.6782455444336,276800,13.433374404907227,50421391,73.54631805419922,160200,66.111572265625,52000,26.896453857421875,7856800,45.35577392578125,4416100
2013-10-02,87.58222961425781,48800,45.892887115478516,11500,77.03160858154297,85700,88.4133529663086,117200,30.68619728088379,5827400,82.52056121826172,165400,13.426675796508789,46893960,73.5733642578125,350700,66.0546646118164,286100,26.925167083740234,9614100,45.423377990722656,2604000
2013-10-03,86.891845703125,106000,45.6787109375,21000,76.2680892944336,68800,87.60565948486328,85200,30.532581329345703,9686800,81.85479736328125,146200,13.326180458068848,57469112,72.79785919189453,216800,65.58309173583984,28100,26.609411239624023,9304000,44.63251876831055,6150600
2013-10-04,87.68395233154297,74900,45.73990249633789,4100,76.63697814941406,72700,88.2890853881836,109200,30.578657150268555,5713900,82.6519775390625,151000,13.433374404907227,36588767,73.29381561279297,456100,65.67253875732422,178300,26.659637451171875,4457000,44.54464340209961,2389200
2013-10-07,86.99359893798828,61700,45.2733268737793,67200,76.19087982177734,67400,87.11747741699219,87100,30.478811264038086,5438900,81.79347229003906,112200,13.279281616210938,35878480,72.68061065673828,158000,65.78636169433594,17100,26.530460357666016,5136100,44.747432708740234,2267400
2013-10-08,86.0707015991211,117500,44.66141891479492,19300,75.10133361816406,145300,85.5197982788086,142400,30.478811264038086,9532300,80.40935516357422,232900,13.111781120300293,90449818,71.30997467041016,467400,64.85131072998047,22100,26.717052459716797,12256600,44.26076126098633,2622000
2013-10-09,85.68553161621094,111400,44.714962005615234,53800,74.98979187011719,80600,85.2801513671875,169400,30.501850128173828,8706800,80.0940170288086,160200,13.158679008483887,96983596,71.40016174316406,2996500,65.03019714355469,22700,26.82469940185547,14318800,44.267513275146484,2896600
2013-10-10,87.30608367919922,64400,45.44160842895508,8900,76.92007446289062,137100,87.16184997558594,108700,31.07025909423828,6104900,81.9511489868164,165300,13.533876419067383,94071174,72.79785919189453,231900,66.1766357421875,17600,27.226558685302734,11698400,45.39633560180664,2370200
2013-10-11,88.26533508300781,68000,45.69401550292969,59400,77.53777313232422,100200,87.81865692138672,119400,31.162433624267578,5451800,82.3190689086914,162800,13.60757827758789,47829520,73.41107177734375,181700,66.70512390136719,13200,27.35573387145996,6908600,45.84922409057617,2111100
2013-10-14,88.83943176269531,86900,45.98466491699219,9600,77.76082611083984,126700,88.2624740600586,95200,31.293012619018555,6808200,82.84468078613281,149800,13.67457389831543,45458737,73.82584381103516,211700,66.61569213867188,14200,27.205034255981445,26340800,45.876251220703125,2278000
