Date,Net Income,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Adj Close
2013-09-30,7634.197802197802,10188.483516483517,265.6373626373626,-7513.2967032967035,2940.8241758241757,14.860147476196287
2013-10-01,7695.2967032967035,10328.725274725275,92.95604395604391,-7515.945054945055,2905.736263736264,15.209556579589844
2013-10-02,7756.395604395604,10468.967032967033,-79.72527472527474,-7518.593406593406,2870.6483516483518,15.259428977966309
2013-10-03,7817.494505494506,10609.208791208792,-252.4065934065934,-7521.241758241758,2835.5604395604396,15.067736625671388
2013-10-04,7878.593406593407,10749.45054945055,-425.0879120879122,-7523.89010989011,2800.4725274725274,15.05589199066162
2013-10-07,8061.89010989011,11170.175824175825,-943.1318681318683,-7531.8351648351645,2695.2087912087914,15.203007698059082
2013-10-08,8122.989010989011,11310.417582417582,-1115.8131868131868,-7534.483516483517,2660.120879120879,14.99074649810791
2013-10-09,8184.087912087913,11450.65934065934,-1288.4945054945056,-7537.131868131868,2625.032967032967,15.166852951049805
2013-10-10,8245.186813186814,11590.901098901099,-1461.1758241758243,-7539.780219780219,2589.945054945055,15.261922836303713
2013-10-11,8306.285714285714,11731.142857142857,-1633.8571428571431,-7542.428571428572,2554.857142857143,15.360730171203612
2013-10-14,8489.582417582418,12151.868131868132,-2151.901098901099,-7550.373626373626,2449.5934065934066,15.461402893066406
2013-10-15,8550.68131868132,12292.10989010989,-2324.5824175824177,-7553.021978021978,2414.5054945054944,15.543691635131836
2013-10-16,8611.78021978022,12432.351648351649,-2497.2637362637365,-7555.67032967033,2379.4175824175827,15.619431495666504
2013-10-17,8672.87912087912,12572.593406593407,-2669.945054945055,-7558.318681318681,2344.32967032967,15.725105285644531
2013-10-18,8733.978021978022,12712.835164835165,-2842.6263736263736,-7560.9670329670325,2309.2417582417584,15.861937522888184
2013-10-21,8917.274725274725,13133.560439560439,-3360.67032967033,-7568.912087912088,2203.978021978022,16.250625610351562
2013-10-22,8978.373626373626,13273.802197802197,-3533.3516483516487,-7571.56043956044,2168.8901098901097,16.20418357849121
2013-10-23,9039.472527472528,13414.043956043955,-3706.0329670329675,-7574.208791208791,2133.802197802198,16.362829208374023
2013-10-24,9100.57142857143,13554.285714285714,-3878.7142857142862,-7576.857142857143,2098.714285714286,16.5794620513916
2013-10-25,9161.670329670329,13694.527472527472,-4051.395604395604,-7579.505494505494,2063.6263736263736,16.394001007080078
2013-10-28,9344.967032967033,14115.252747252747,-4569.43956043956,-7587.450549450549,1958.3626373626373,16.516189575195312
2013-10-29,9406.065934065935,14255.494505494506,-4742.120879120879,-7590.0989010989015,1923.2747252747254,16.104751586914062
2013-10-30,9467.164835164835,14395.736263736264,-4914.802197802198,-7592.747252747253,1888.1868131868132,16.360965728759766
2013-10-31,9528.263736263736,14535.978021978022,-5087.483516483517,-7595.395604395604,1853.098901098901,16.292390823364258
2013-11-01,9589.362637362638,14676.21978021978,-5260.1648351648355,-7598.043956043956,1818.010989010989,16.209163665771484
2013-11-04,9772.65934065934,15096.945054945056,-5778.208791208792,-7605.989010989011,1712.7472527472528,16.418622970581055
2013-11-05,9833.758241758242,15237.186813186814,-5950.89010989011,-7608.6373626373625,1677.6593406593406,16.37810516357422
2013-11-06,9894.857142857143,15377.428571428572,-6123.571428571428,-7611.285714285715,1642.5714285714287,16.331707000732422
2013-11-07,9955.956043956045,15517.67032967033,-6296.252747252747,-7613.934065934066,1607.4835164835165,16.067413330078125
2013-11-08,10017.054945054944,15657.91208791209,-6468.934065934066,-7616.582417582417,1572.3956043956043,16.320415496826172
2013-11-11,10200.351648351649,16078.637362637362,-6986.978021978022,-7624.527472527472,1467.131868131868,16.273082733154297
2013-11-12,10261.45054945055,16218.87912087912,-7159.659340659341,-7627.175824175824,1432.043956043956,16.303180694580078
2013-11-13,10322.54945054945,16359.12087912088,-7332.34065934066,-7629.824175824176,1396.956043956044,16.322614669799805
2013-11-14,10383.648351648351,16499.36263736264,-7505.021978021979,-7632.472527472528,1361.868131868132,16.558692932128906
2013-11-15,10444.747252747253,16639.604395604394,-7677.703296703297,-7635.120879120879,1326.7802197802198,16.459306716918945
2013-11-18,10628.043956043955,17060.329670329673,-8195.747252747253,-7643.065934065934,1221.5164835164835,16.259916305541992
2013-11-19,10689.142857142857,17200.571428571428,-8368.428571428572,-7645.714285714285,1186.4285714285716,16.28875160217285
2013-11-20,10750.241758241758,17340.813186813186,-8541.10989010989,-7648.3626373626375,1151.3406593406594,16.14610481262207
2013-11-21,10811.34065934066,17481.054945054944,-8713.791208791208,-7651.010989010989,1116.2527472527472,16.33860969543457
2013-11-22,10872.439560439561,17621.296703296703,-8886.472527472528,-7653.659340659341,1081.1648351648353,16.296594619750977
2013-11-25,11055.736263736264,18042.021978021978,-9404.516483516483,-7661.604395604396,975.901098901099,16.42011833190918
2013-11-26,11116.835164835165,18182.263736263736,-9577.197802197803,-7664.252747252747,940.8131868131868,16.72297477722168
2013-11-27,11177.934065934067,18322.505494505494,-9749.87912087912,-7666.9010989010985,905.7252747252746,17.116748809814453
2013-11-29,11300.131868131868,18602.98901098901,-10095.241758241758,-7672.197802197802,835.5494505494507,17.433717727661133
2013-12-02,11483.428571428572,19023.714285714286,-10613.285714285714,-7680.142857142857,730.2857142857142,17.281980514526367
2013-12-03,11544.527472527472,19163.956043956045,-10785.967032967033,-7682.791208791209,695.197802197802,17.75507354736328
2013-12-04,11605.626373626374,19304.197802197803,-10958.648351648351,-7685.43956043956,660.1098901098903,17.71368980407715
2013-12-05,11666.725274725275,19444.43956043956,-11131.329670329671,-7688.087912087912,625.0219780219782,17.804611206054688
2013-12-06,11727.824175824175,19584.68131868132,-11304.010989010989,-7690.736263736264,589.934065934066,17.557558059692383
2013-12-09,11911.12087912088,20005.406593406595,-11822.054945054946,-7698.681318681319,484.6703296703299,17.75851821899414
