Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2013-10-24,150212.7142857143,75303.42857142857,136892.0,212195.42857142858,46546.857142857145,40346.71428571428,86893.57142857143,16960.285714285714,16.5794620513916
2013-10-25,150345.47252747254,75381.02197802198,137014.23076923078,212395.25274725276,46657.96703296703,40368.01098901099,87025.97802197802,16960.296703296703,16.394001007080078
2013-10-28,150743.74725274724,75613.8021978022,137380.92307692306,212994.72527472526,46991.296703296706,40431.9010989011,87423.1978021978,16960.32967032967,16.516189575195312
2013-10-29,150876.5054945055,75691.3956043956,137503.15384615384,213194.54945054944,47102.406593406595,40453.1978021978,87555.6043956044,16960.340659340658,16.104751586914062
2013-10-30,151009.26373626373,75768.98901098901,137625.38461538462,213394.37362637362,47213.51648351648,40474.494505494506,87688.01098901099,16960.351648351647,16.360965728759766
2013-10-31,151142.02197802198,75846.58241758242,137747.61538461538,213594.1978021978,47324.62637362637,40495.79120879121,87820.41758241758,16960.362637362636,16.292390823364258
2013-11-01,151274.78021978022,75924.17582417582,137869.84615384616,213794.02197802198,47435.73626373627,40517.08791208791,87952.82417582418,16960.373626373625,16.209163665771484
2013-11-04,151673.05494505496,76156.95604395604,138236.53846153847,214393.4945054945,47769.06593406593,40580.97802197802,88350.04395604396,16960.406593406595,16.418622970581055
2013-11-05,151805.81318681317,76234.54945054946,138358.76923076922,214593.3186813187,47880.17582417582,40602.27472527473,88482.45054945054,16960.417582417584,16.37810516357422
2013-11-06,151938.57142857142,76312.14285714286,138481.0,214793.14285714287,47991.28571428572,40623.57142857143,88614.85714285714,16960.428571428572,16.331707000732422
2013-11-07,152071.32967032967,76389.73626373627,138603.23076923078,214992.96703296702,48102.395604395606,40644.868131868134,88747.26373626373,16960.43956043956,16.067413330078125
2013-11-08,152204.0879120879,76467.32967032967,138725.46153846153,215192.7912087912,48213.505494505494,40666.16483516483,88879.67032967033,16960.45054945055,16.320415496826172
2013-11-11,152602.36263736265,76700.10989010989,139092.15384615384,215792.26373626373,48546.83516483517,40730.054945054944,89276.89010989011,16960.483516483517,16.273082733154297
2013-11-12,152735.1208791209,76777.7032967033,139214.38461538462,215992.0879120879,48657.945054945056,40751.35164835165,89409.2967032967,16960.494505494506,16.303180694580078
2013-11-13,152867.8791208791,76855.2967032967,139336.61538461538,216191.9120879121,48769.054945054944,40772.64835164835,89541.7032967033,16960.505494505494,16.322614669799805
2013-11-14,153000.63736263735,76932.89010989011,139458.84615384616,216391.73626373627,48880.16483516483,40793.945054945056,89674.10989010989,16960.516483516483,16.558692932128906
2013-11-15,153133.3956043956,77010.48351648351,139581.07692307694,216591.56043956045,48991.27472527473,40815.241758241755,89806.51648351649,16960.527472527472,16.459306716918945
2013-11-18,153531.67032967033,77243.26373626373,139947.76923076922,217191.03296703298,49324.604395604394,40879.131868131866,90203.73626373627,16960.56043956044,16.259916305541992
