,BPS,PER,PBR,EPS,DIV,DPS,Adj Close
2013-09-30,4.886425015910748,11.878901098901098,3.557192140496018,0.3048351648351648,0.023934065934065933,0.41589261842604186,14.860143661499023
2013-10-01,4.889597234732339,11.898351648351648,3.5608851358506652,0.30725274725274726,0.023901098901098903,0.4159588470607952,15.209561347961426
2013-10-02,4.892769453553929,11.917802197802198,3.5645781312053124,0.30967032967032965,0.02386813186813187,0.4160250756955486,15.259428024291992
2013-10-03,4.895941672375519,11.937252747252748,3.56827112655996,0.3120879120879121,0.023835164835164836,0.41609130433030195,15.067732810974121
2013-10-04,4.89911389119711,11.956703296703296,3.571964121914607,0.3145054945054945,0.023802197802197802,0.4161575329650553,15.055890083312988
2013-10-07,4.90863054766188,12.015054945054946,3.5830431079785487,0.32175824175824175,0.023703296703296704,0.4163562188693154,15.203008651733398
2013-10-08,4.91180276648347,12.034505494505494,3.586736103333196,0.3241758241758242,0.02367032967032967,0.41642244750406876,14.990745544433594
2013-10-09,4.914974985305061,12.053956043956044,3.590429098687843,0.3265934065934066,0.023637362637362637,0.4164886761388221,15.166851043701172
2013-10-10,4.918147204126651,12.073406593406594,3.5941220940424903,0.329010989010989,0.023604395604395603,0.4165549047735755,15.261920928955078
2013-10-11,4.921319422948241,12.092857142857143,3.597815089397138,0.3314285714285714,0.023571428571428573,0.41662113340832885,15.360729217529297
2013-10-14,4.930836079413012,12.151208791208791,3.6088940754610794,0.3386813186813187,0.023472527472527472,0.416819819312589,15.461409568786621
2013-10-15,4.934008298234603,12.170659340659341,3.6125870708157266,0.34109890109890106,0.023439560439560442,0.41688604794734235,15.543699264526367
2013-10-16,4.937180517056193,12.19010989010989,3.616280066170374,0.3435164835164835,0.023406593406593408,0.4169522765820957,15.619438171386719
2013-10-17,4.9403527358777835,12.20956043956044,3.619973061525021,0.34593406593406595,0.023373626373626374,0.4170185052168491,15.725104331970215
2013-10-18,4.943524954699373,12.22901098901099,3.623666056879668,0.34835164835164834,0.02334065934065934,0.41708473385160244,15.861937522888184
2013-10-21,4.953041611164144,12.287362637362637,3.63474504294361,0.3556043956043956,0.023241758241758243,0.41728341975586253,16.25063133239746
